Topic,Sentiment,TweetId,TweetDate,TweetText
apple,-1,1.26E+17,Tue Oct 18 22:06:03 +0000 2011,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
apple,-1,1.26E+17,Tue Oct 18 22:00:04 +0000 2011,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
apple,-1,1.26E+17,Tue Oct 18 21:58:36 +0000 2011,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
apple,-1,1.26E+17,Tue Oct 18 21:55:23 +0000 2011,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
apple,-1,1.26E+17,Tue Oct 18 21:35:44 +0000 2011,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
apple,-1,1.26E+17,Tue Oct 18 21:33:28 +0000 2011,@apple needs to hurry up and release #iTunesMatch
apple,-1,1.26E+17,Tue Oct 18 21:29:54 +0000 2011,Why is  #Siri always down @apple
apple,-1,1.26E+17,Tue Oct 18 21:26:36 +0000 2011,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
apple,-1,1.26E+17,Tue Oct 18 21:23:22 +0000 2011,"@apple AirDrop #fail - Immediate ""declined your request."" every time"
apple,-1,1.26E+17,Tue Oct 18 21:22:14 +0000 2011,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
apple,-1,1.26E+17,Tue Oct 18 21:12:51 +0000 2011,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
apple,-1,1.26E+17,Tue Oct 18 21:11:59 +0000 2011,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
apple,-1,1.26E+17,Tue Oct 18 21:11:24 +0000 2011,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
apple,-1,1.26E+17,Tue Oct 18 20:53:55 +0000 2011,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple
apple,-1,1.26E+17,Tue Oct 18 20:30:14 +0000 2011,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"" button."
apple,-1,1.26E+17,Tue Oct 18 20:26:25 +0000 2011,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
apple,-1,1.26E+17,Tue Oct 18 20:24:22 +0000 2011,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
apple,-1,1.26E+17,Tue Oct 18 20:21:11 +0000 2011,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."
apple,-1,1.26E+17,Tue Oct 18 20:15:56 +0000 2011,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
apple,-1,1.26E+17,Tue Oct 18 20:08:32 +0000 2011,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
apple,-1,1.26E+17,Tue Oct 18 20:04:28 +0000 2011,"Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it."
apple,-1,1.26E+17,Tue Oct 18 20:03:47 +0000 2011,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer…"""
apple,-1,1.26E+17,Tue Oct 18 19:51:55 +0000 2011,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild."
apple,-1,1.26E+17,Tue Oct 18 19:43:40 +0000 2011,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
apple,-1,1.26E+17,Tue Oct 18 19:40:03 +0000 2011,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
apple,-1,1.26E+17,Tue Oct 18 19:37:56 +0000 2011,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
apple,-1,1.26E+17,Tue Oct 18 19:34:15 +0000 2011,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"
apple,-1,1.26E+17,Tue Oct 18 19:34:06 +0000 2011,It would be great If @Apple would send my new phone. #frustrated
apple,-1,1.26E+17,Tue Oct 18 19:21:10 +0000 2011,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
apple,-1,1.26E+17,Tue Oct 18 19:13:33 +0000 2011,"@rogerweir no but I have the option of a  replacement iPhone 4s ?
Not sure if I want one after having 2 duff iPhones.
@O2 @iphone4s @apple"
apple,-1,1.26E+17,Tue Oct 18 19:02:52 +0000 2011,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
apple,-1,1.26E+17,Tue Oct 18 19:00:17 +0000 2011,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"
apple,-1,1.26E+17,Tue Oct 18 18:24:58 +0000 2011,removing all @apple shit.
apple,-1,1.26E+17,Tue Oct 18 18:18:19 +0000 2011,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
apple,-1,1.26E+17,Tue Oct 18 18:07:35 +0000 2011,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.
apple,-1,1.26E+17,Tue Oct 18 18:05:41 +0000 2011,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
apple,-1,1.26E+17,Tue Oct 18 18:05:34 +0000 2011,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
apple,-1,1.26E+17,Tue Oct 18 18:02:49 +0000 2011,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("
apple,-1,1.26E+17,Tue Oct 18 18:01:25 +0000 2011,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
apple,-1,1.26E+17,Tue Oct 18 17:51:05 +0000 2011,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
apple,-1,1.26E+17,Tue Oct 18 17:40:32 +0000 2011,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
apple,-1,1.26E+17,Tue Oct 18 17:25:25 +0000 2011,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
apple,-1,1.26E+17,Tue Oct 18 17:10:33 +0000 2011,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv"
apple,-1,1.26E+17,Tue Oct 18 17:08:35 +0000 2011,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
apple,-1,1.26E+17,Tue Oct 18 17:07:35 +0000 2011,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers..."
apple,-1,1.26E+17,Tue Oct 18 17:05:44 +0000 2011,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
apple,-1,1.26E+17,Tue Oct 18 16:31:29 +0000 2011,@APPLE Wow @MOTOROLA Just crushed your dreams....
apple,-1,1.26E+17,Tue Oct 18 16:19:06 +0000 2011,"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
apple,-1,1.26E+17,Tue Oct 18 16:18:30 +0000 2011,"Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
apple,-1,1.26E+17,Tue Oct 18 16:04:31 +0000 2011,"@apple, 
No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now"
apple,-1,1.26E+17,Tue Oct 18 15:53:51 +0000 2011,WTF?!?! @apple the new iOS 5 doesn't allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!
apple,-1,1.26E+17,Tue Oct 18 15:51:39 +0000 2011,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?"
apple,-1,1.26E+17,Tue Oct 18 15:50:56 +0000 2011,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T
apple,-1,1.26E+17,Tue Oct 18 15:49:41 +0000 2011,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii
apple,-1,1.26E+17,Tue Oct 18 15:38:08 +0000 2011,@apple why is my iPhone battery so crappy #fail
apple,-1,1.26E+17,Tue Oct 18 15:33:37 +0000 2011,My @Apple @macbook keyboard will not type :(
apple,-1,1.26E+17,Tue Oct 18 14:56:19 +0000 2011,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber"
